ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300731.SZ,20250821,52.5,52.9,47.68,48.42,52.4,-3.98,-7.5954,202006.94,990540.454
300731.SZ,20250820,53.8,53.93,51.26,52.4,56.03,-3.63,-6.4787,186677.62,976599.713
300731.SZ,20250819,56.15,58.0,54.29,56.03,59.5,-3.47,-5.8319,283501.06,1579393.651
300731.SZ,20250818,53.0,61.5,49.5,59.5,51.71,7.79,15.0648,321104.54,1767373.867
300731.SZ,20250815,48.87,55.0,48.87,51.71,48.63,3.08,6.3335,287015.88,1482794.777
300731.SZ,20250814,51.51,53.98,47.37,48.63,52.3,-3.67,-7.0172,227825.97,1147903.059
300731.SZ,20250813,50.0,52.3,46.46,52.3,48.89,3.41,6.9748,280051.46,1392292.454
300731.SZ,20250812,50.8,51.0,47.0,48.89,52.17,-3.28,-6.2871,242851.38,1193013.037
300731.SZ,20250811,48.28,52.88,48.0,52.17,50.0,2.17,4.34,284501.88,1419133.815
300731.SZ,20250808,46.42,51.22,45.68,50.0,47.79,2.21,4.6244,277502.7,1364893.92
300731.SZ,20250807,45.39,49.77,45.39,47.79,47.12,0.67,1.4219,337889.71,1619023.099
300731.SZ,20250806,42.22,47.12,42.22,47.12,39.27,7.85,19.9898,296498.28,1345017.328
300731.SZ,20250805,34.87,40.17,34.18,39.27,36.9,2.37,6.4228,274341.85,995187.545
300731.SZ,20250804,34.01,38.6,34.01,36.9,32.67,4.23,12.9477,237597.33,877063.841
300731.SZ,20250801,34.79,36.27,32.56,32.67,33.35,-0.68,-2.039,239101.54,823150.721
300731.SZ,20250731,29.61,33.8,29.61,33.35,29.56,3.79,12.8214,165523.15,535756.811
300731.SZ,20250730,29.57,29.92,29.01,29.56,29.66,-0.1,-0.3372,43862.0,128999.901
300731.SZ,20250729,29.08,29.83,28.38,29.66,29.05,0.61,2.0998,59553.0,172834.23
300731.SZ,20250728,28.82,29.39,28.72,29.05,28.69,0.36,1.2548,37612.4,109351.763
300731.SZ,20250725,27.98,28.84,27.86,28.69,27.96,0.73,2.6109,45386.0,128914.585
300731.SZ,20250724,28.15,28.35,27.8,27.96,28.08,-0.12,-0.4274,30230.4,84651.867
300731.SZ,20250723,28.43,28.65,28.04,28.08,28.54,-0.46,-1.6118,29948.0,84579.338
300731.SZ,20250722,28.78,29.16,28.43,28.54,28.94,-0.4,-1.3822,31059.0,89141.048
300731.SZ,20250721,28.84,29.08,28.3,28.94,29.0,-0.06,-0.2069,39662.4,113456.677
300731.SZ,20250718,29.3,29.56,28.93,29.0,29.3,-0.3,-1.0239,29749.0,86667.135
300731.SZ,20250717,28.4,29.35,28.18,29.3,28.5,0.8,2.807,43049.0,124344.299
300731.SZ,20250716,29.0,29.7,28.46,28.5,28.96,-0.46,-1.5884,44495.0,129206.127
300731.SZ,20250715,28.22,29.23,28.13,28.96,28.31,0.65,2.296,58006.0,166358.641
300731.SZ,20250714,28.23,28.47,28.02,28.31,28.2,0.11,0.3901,36024.0,101568.744
300731.SZ,20250711,28.5,28.78,28.05,28.2,28.72,-0.52,-1.8106,48493.35,137281.601
300731.SZ,20250710,29.49,30.36,28.51,28.72,29.46,-0.74,-2.5119,55995.0,163427.975
300731.SZ,20250709,29.87,30.43,29.33,29.46,29.87,-0.41,-1.3726,36553.0,108628.619
300731.SZ,20250708,29.1,30.28,28.81,29.87,29.06,0.81,2.7873,43638.58,129713.31
300731.SZ,20250707,28.87,29.45,28.6,29.06,28.8,0.26,0.9028,33462.72,96950.691
300731.SZ,20250704,29.82,29.89,28.6,28.8,29.83,-1.03,-3.4529,48216.4,140440.446
300731.SZ,20250703,29.64,30.05,29.41,29.83,29.71,0.12,0.4039,32610.88,96948.21
300731.SZ,20250702,30.18,31.03,29.57,29.71,30.27,-0.56,-1.85,57855.0,174620.7
300731.SZ,20250701,30.18,30.46,29.58,30.27,30.17,0.1,0.3315,54884.4,165022.92
