ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301018.SZ,20250821,69.01,69.38,63.59,63.99,69.46,-5.47,-7.875,186418.33,1218687.096
301018.SZ,20250820,65.88,71.5,62.63,69.46,68.11,1.35,1.9821,189612.2,1274015.998
301018.SZ,20250819,70.88,71.6,67.0,68.11,73.4,-5.29,-7.2071,236387.14,1625335.332
301018.SZ,20250818,65.4,74.72,64.5,73.4,64.11,9.29,14.4907,234473.98,1630109.81
301018.SZ,20250815,57.11,66.5,57.11,64.11,57.99,6.12,10.5535,258702.68,1600625.733
301018.SZ,20250814,58.99,59.77,56.01,57.99,60.48,-2.49,-4.1171,244355.19,1403500.949
301018.SZ,20250813,56.08,60.99,54.34,60.48,56.02,4.46,7.9614,286769.27,1662255.171
301018.SZ,20250812,49.0,59.42,48.68,56.02,49.52,6.5,13.126,283193.1,1563394.808
301018.SZ,20250811,48.99,50.3,48.31,49.52,48.18,1.34,2.7812,169662.66,838729.954
301018.SZ,20250808,45.14,49.5,44.94,48.18,45.31,2.87,6.3341,202814.67,965759.028
301018.SZ,20250807,46.83,47.1,44.3,45.31,47.48,-2.17,-4.5703,147186.48,671187.699
301018.SZ,20250806,46.72,51.28,46.27,47.48,46.27,1.21,2.6151,148276.7,716376.334
301018.SZ,20250805,45.66,47.5,45.39,46.27,45.8,0.47,1.0262,94233.43,437488.519
301018.SZ,20250804,44.0,46.09,43.78,45.8,44.6,1.2,2.6906,86922.69,391887.866
301018.SZ,20250801,46.59,47.01,43.9,44.6,46.52,-1.92,-4.1273,117917.12,532256.668
301018.SZ,20250731,45.01,48.6,44.38,46.52,43.2,3.32,7.6852,169777.78,787788.62
301018.SZ,20250730,43.0,45.15,43.0,43.2,42.99,0.21,0.4885,120106.03,527109.722
301018.SZ,20250729,42.04,43.15,41.45,42.99,42.27,0.72,1.7033,96876.13,411888.909
301018.SZ,20250728,40.89,43.33,40.2,42.27,40.6,1.67,4.1133,129205.53,542236.88
301018.SZ,20250725,39.73,41.38,39.1,40.6,39.39,1.21,3.0718,74884.2,299569.904
301018.SZ,20250724,39.14,39.47,38.85,39.39,39.0,0.39,1.0,46916.26,183532.709
301018.SZ,20250723,39.01,39.55,38.72,39.0,39.2,-0.2,-0.5102,50847.24,198853.066
301018.SZ,20250722,39.72,40.8,39.04,39.2,39.73,-0.53,-1.334,62381.02,248278.397
301018.SZ,20250721,40.08,40.5,39.01,39.73,40.38,-0.65,-1.6097,60710.0,240569.163
301018.SZ,20250718,40.75,41.5,40.26,40.38,40.71,-0.33,-0.8106,73449.0,300299.008
301018.SZ,20250717,40.5,41.09,39.85,40.71,40.86,-0.15,-0.3671,74279.0,301321.375
301018.SZ,20250716,41.8,42.34,40.74,40.86,41.58,-0.72,-1.7316,95518.0,396522.306
301018.SZ,20250715,39.2,42.42,39.1,41.58,39.3,2.28,5.8015,149621.0,613214.348
301018.SZ,20250714,37.23,39.4,37.23,39.3,37.4,1.9,5.0802,113673.6,441788.969
301018.SZ,20250711,37.84,37.84,37.0,37.4,37.84,-0.44,-1.1628,44135.0,164871.268
301018.SZ,20250710,38.63,38.89,37.5,37.84,38.43,-0.59,-1.5353,46763.0,177546.328
301018.SZ,20250709,38.5,38.77,37.86,38.43,38.65,-0.22,-0.5692,49535.24,190027.087
301018.SZ,20250708,37.39,39.1,37.1,38.65,37.6,1.05,2.7926,72840.34,280408.457
301018.SZ,20250707,36.97,38.0,36.62,37.6,37.3,0.3,0.8043,48990.78,182536.249
301018.SZ,20250704,37.98,39.18,37.1,37.3,37.98,-0.68,-1.7904,112047.0,430078.094
301018.SZ,20250703,36.88,38.03,36.61,37.98,36.88,1.1,2.9826,63504.0,237534.541
301018.SZ,20250702,37.25,37.29,36.21,36.88,37.34,-0.46,-1.2319,58437.24,214459.795
301018.SZ,20250701,37.76,38.07,37.08,37.34,37.94,-0.6,-1.5814,50303.0,188112.42
